	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	5.4E-03	91	731	1.55	GO:0031347 regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031347	GRN,RORA,TREM2,PTPN22,PARP9,HERC5,NLRC5,SUSD4,GHRL,IFI16,KLK5,IL23A,IL12B,APOE,TLR4,IL18,MAPK13,TLR3,CYBA,ATG5,IFI35,NFKBIA,RNF125,TLR8,BST1,APOBEC3F,F12,EMILIN2,SLC15A4,BRD4,KLK3,XCL1,SERPING1,ZC3H12A,FPR2,NLRP6,HEXIM1,C2CD4B,IRAK3,TYRO3,COCH,ACP5,HAMP,TRPV4,TRIM38,NMI,CXCL6,NR1D1,IRF3,ZFP36,TNFRSF11A,VAV1,ADAM8,ADAR,NPY5R,SYK,SOCS5,CEBPB,NR1D2,PTPN2,NUPR1,GPR4,LACC1,TBK1,YTHDF3,PLCG2,CEBPA,SERPINE1,IL37,DTX3L,PVR,UBE2K,CEACAM1,NFKBIZ,MFHAS1,SERPINB9,ILRUN,SIGLEC10,EIF2AK4,EP300,MMP9,HCK,XIAP,PTPN6,TEK,RHBDF2,PLA2G7,KLKB1,YES1,PTPN11,PLA2G2A
	5.4E-03	94	625	1.54	GO:0006875 cellular metal ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0006875	CALCR,TBXA2R,ATP2C1,TRPC5,ATP12A,FTL,SLC8B1,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,TRPM7,HIF1A,PTPN6,ACO1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,BOK,TMEM64,DIAPH1,HEPHL1,ATP6V0A2,CACNA2D1,TESMIN,P2RX2,CP,NOS1,JPH1,FLVCR1,LPAR3,S1PR3
	5.4E-03	106	1102	1.50	GO:0045087 innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045087	TNK2,HCK,RELB,TRIM14,FRK,TRIM38,IFIH1,PARP9,NLRC5,IFITM3,XCL1,SUSD4,GBP4,IFI16,SYK,CLEC4D,YES1,FES,PTPN22,TLR4,TBK1,IFNE,LTF,GRN,IFI35,TLR8,CYP27B1,IL12B,APOBEC3F,GCH1,SERINC3,CH25H,SLC15A4,SERPING1,FPR2,NLRP6,H2BC4,HEXIM1,HMGB3,CYBA,PRDM1,ATG5,IRAK3,CD209,TYRO3,TREM2,COCH,TMEM33,UNC93B1,SLC15A3,IL23A,PTPN6,STXBP3,ARHGEF2,CR2,CLU,NMI,IRF3,APOE,LGALS3,SFTPD,OASL,HERC5,VAV1,SIGLEC10,MFHAS1,LCN2,IL18,ADAM8,MCOLN2,ADAR,SLC15A2,DTX3L,OTUD4,TLR3,MAP4K2,PIK3CD,C1QA,PTPN2,LACC1,APOBEC3B,SSC5D,ADGRB1,MX2,YTHDF3,IL1RAP,CD55,ILRUN,MAP3K5,PLCG2,CD177,LGR4,APOBEC3D,APOBEC3C,MRC1,PVR,UBE2K,CEACAM1,AKAP1,SERPINB9,TREML1,EP300,XIAP,F12,PTPN11,CLEC2A
	5.4E-03	117	809	1.47	GO:0098771 inorganic ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0098771	CALCR,TBXA2R,ATP2C1,CP,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,TRPM7,ATP4A,HAMP,TFR2,CALCA,TRPV4,RHAG,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,CD38,LTF,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,UPK3A,HIF1A,SLC9A3R1,PTPN6,STEAP3,ACO1,HVCN1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,STEAP1,CACNB2,CLIC4,KCNE3,BOK,TMEM64,MAFG,GRN,CYP27B1,DIAPH1,RAB39A,SPX,CACNA2D1,FGFR4,TESMIN,P2RX2,S100A14,NOS1,XIAP,JPH1,FLVCR1,LPAR3,S1PR3
	5.4E-03	118	819	1.46	GO:0050801 ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0050801	CALCR,TBXA2R,ATP2C1,CP,SLC9A7,TRPC5,ATP12A,FTL,SLC4A11,SLC8B1,TRPM7,ATP4A,HAMP,TFR2,CALCA,TRPV4,RHAG,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,CD38,LTF,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,UPK3A,HIF1A,SLC9A3R1,PTPN6,STEAP3,ACO1,HVCN1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,STEAP1,CACNB2,CLIC4,KCNE3,BOK,TMEM64,MAFG,GRN,CYP27B1,DIAPH1,RAB39A,SPX,CACNA2D1,FGFR4,TESMIN,P2RX2,S100A14,NOS1,XIAP,JPH1,FLVCR1,LPAR3,S1PR3
	5.4E-03	145	1280	1.40	GO:0001775 cell activation	http://amigo.geneontology.org/amigo/term/GO:0001775	VCL,ACTB,MYL9,TLN1,FLNA,CD38,TPD52,TYRO3,TREM2,BST1,IL23A,ZP4,CD48,HELLS,CRACR2A,PTPN22,DYSF,TNFRSF21,BANK1,KIT,TREML1,SYK,CLCF1,FES,IFNE,CD177,IL12B,ZC3H12A,PIK3CD,CD44,GRN,IFI35,CEACAM1,CD209,VWF,MAD2L2,CR2,CLU,NMI,CXCL6,TNFSF14,APOE,EMILIN2,LCP1,ANXA3,XCL1,IL18,F11R,PF4,CD19,PLA2G2A,CD55,GCLC,GCLM,SH2D2A,HMGB3,PIK3CB,ENTPD2,PRDM1,ATG5,SPHK2,DGKA,PRKCZ,RORA,IL4R,THOC1,RIF1,EP300,KLF5,SFRP1,RELB,EBI3,HAMP,CBL,POU2AF1,SH2B3,PTPN6,LEPR,MPL,GPR18,NR1D1,SOX15,ZBTB46,THEMIS2,AKAP12,SWAP70,IL15RA,DOCK2,TLR4,IRF4,SLC15A4,VAV1,NFKBIZ,ADRA2A,ADAM8,ZFP36L2,BRAF,ICOSLG,JAML,ZBTB7B,IKZF3,FZD5,TLR3,LMO1,CLEC4D,STAT6,RHOH,PTAFR,SOCS5,CEBPB,C1QA,PTPN2,PAWR,ZBTB7A,TBK1,IRS2,SEMA4A,PLCG2,TOX,MAFB,FNIP1,NFAM1,CEBPA,ADRA2B,STXBP2,DHRS2,STXBP3,ICAM1,SNAP23,RAB29,SDC4,BMP4,ADGRE2,LGALS3,SH3KBP1,MFHAS1,PRKG1,EIF2AK4,HHEX,FPR2,MT1G,INHBA,SFTPD,YES1,PTPN11
	6.1E-03	51	276	1.82	GO:0003018 vascular process in circulatory system	http://amigo.geneontology.org/amigo/term/GO:0003018	TBXA2R,TJP3,TJP2,EDN3,KCNMA1,ADRA1D,NOS1,CALCA,APOE,RAMP2,C2CD4B,CD38,UTS2,ATG5,ROCK1,FERMT2,ASIC2,SOD3,TRPV4,FAAH,AKAP12,GCH1,ADRA2A,ARHGAP42,FOXC2,GPR4,HTR1D,PRKG1,GJA5,ADRA2B,GCLC,GCLM,SH3GL2,PDE3A,CEACAM1,SLC7A2,ABCC3,SLC9A3R1,SLC38A1,SLC22A2,LEPR,SLC8A2,SLC38A2,SLC22A3,SLC2A13,SLC16A12,SLC13A3,SLC15A2,SLC7A3,TEK,YES1
	6.1E-03	84	527	1.57	GO:0008015 blood circulation	http://amigo.geneontology.org/amigo/term/GO:0008015	TBXA2R,UTS2,NOS1,TJP3,SCN1B,MYL7,MYL2,GLP1R,TJP2,EDN3,ADM2,TPM1,KLK3,KCNE4,KCNMA1,MYL3,TAC3,KLK2,ADRA1D,ATP2A2,KCNE3,AGTRAP,EMILIN2,SCNN1G,FLNA,RYR2,TGFB2,CALCA,APOE,RAMP2,PLCB3,RNLS,MYH6,C2CD4B,GJA5,CD38,CYBA,ATG5,ROCK1,TMEM38A,FERMT2,KCNK6,PPP1R13L,ASIC2,SOD3,TRPV4,FAAH,AKAP12,GCH1,ATP1B1,ADRA2A,THRB,FLI1,GHRL,S100A1,ZC3H12A,NPY1R,ARHGAP42,AR,PTAFR,FOXC2,GPR4,HTR1D,PRKG1,P2RX2,ADRA2B,GCLC,GCLM,DSG2,SH3GL2,CACNA2D1,CACNB2,PDE3A,JUP,CEACAM1,SPX,RENBP,SLC8A2,SGK1,TEK,SERPING1,COL4A3,HSPB7,YES1
	6.2E-03	103	700	1.49	GO:0030003 cellular cation homeostasis	http://amigo.geneontology.org/amigo/term/GO:0030003	CALCR,TBXA2R,ATP2C1,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,ATP6V0A2,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,SLC4A11,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,TRPM7,HIF1A,PTPN6,ACO1,HVCN1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,CLIC4,BOK,TMEM64,MAFG,GRN,DIAPH1,RAB39A,HEPHL1,CACNA2D1,TESMIN,P2RX2,CP,NOS1,JPH1,FLVCR1,LPAR3,S1PR3
	6.2E-03	129	1355	1.42	GO:0098542 defense response to other organism	http://amigo.geneontology.org/amigo/term/GO:0098542	LTF,TNK2,HCK,TLR8,RELB,HAMP,TRIM14,FRK,TRIM38,IFIH1,APOBEC3F,PTPN22,OASL,TLR4,PARP9,HERC5,NLRC5,IFITM3,XCL1,SUSD4,GBP4,IFI16,SYK,CLEC4D,KLK5,YES1,APOBEC3B,FES,MX2,APOBEC3D,APOBEC3C,TBK1,IFNE,GRN,CYBA,ATG5,IFI35,EPPIN,RNF125,IL23A,CYP27B1,IL12B,GCH1,EMILIN2,SERINC3,CH25H,ANXA3,SLC15A4,KLK3,LCN2,SERPING1,PF4,ZC3H12A,FPR2,NLRP6,H2BC4,HEXIM1,HMGB3,PRDM1,IL4R,IRAK3,CD209,TYRO3,TREM2,COCH,ACP5,TMEM33,UNC93B1,SLC15A3,PTPN6,STXBP3,ARHGEF2,CR2,CLU,NMI,CXCL6,IRF3,BECN1,VGF,EIF2AK4,APOE,LGALS3,SFTPD,IRF4,ITGAX,VAV1,SIGLEC10,IL22RA1,MFHAS1,IL18,ADAM8,MCOLN2,ADAR,SLC15A2,DTX3L,OTUD4,TLR3,MAP4K2,MLKL,PIK3CD,CEBPB,C1QA,PTPN2,LACC1,SSC5D,ADGRB1,YTHDF3,PLA2G2A,IL1RAP,CD55,ILRUN,MAP3K5,PLCG2,CD177,LGR4,MRC1,S100A14,SERPINE1,PVR,UBE2K,CEACAM1,AKAP1,SERPINB9,TREML1,EP300,XIAP,F12,PTPN11,CLEC2A
	8.0E-03	103	714	1.48	GO:0055065 metal ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055065	CALCR,TBXA2R,ATP2C1,CP,TRPC5,ATP12A,FTL,SLC8B1,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,HEPHL1,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,LTF,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,TRPM7,UPK3A,HIF1A,PTPN6,RHAG,STEAP3,ACO1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,STEAP1,CACNB2,BOK,TMEM64,CYP27B1,DIAPH1,ATP6V0A2,SPX,CACNA2D1,TESMIN,P2RX2,S100A14,NOS1,XIAP,JPH1,FLVCR1,LPAR3,S1PR3
	8.0E-03	195	2031	1.32	GO:0006952 defense response	http://amigo.geneontology.org/amigo/term/GO:0006952	TBXA2R,LTF,CD44,GRN,TNK2,RORA,NOX3,TREM2,HCK,TLR8,RELB,HAMP,TRIM14,FRK,TRIM38,IFIH1,CXCL6,PTGER2,IL37,STAT5A,APOBEC3F,PTPN22,C5AR2,OASL,TLR4,PARP9,HERC5,NLRC5,IFITM3,XCL1,SUSD4,ADAM8,GHRL,GBP4,IFI16,CXCL3,PF4,SYK,CLEC4D,STAT6,KLK5,CXCL11,FPR2,YES1,APOBEC3B,SSC5D,FES,MX2,FPR3,APOBEC3D,APOBEC3C,IL23A,IL12B,APOE,IL18,MAPK13,TLR3,TBK1,IFNE,CYBA,ATG5,IFI35,HIF1A,NFKBIA,EPPIN,RNF125,BST1,CYP27B1,CLU,F12,GCH1,EMILIN2,SERINC3,CH25H,ANXA3,SLC15A4,BRD4,KLK3,CRHBP,LCN2,SERPING1,ZC3H12A,NLRP6,H2BC4,HEXIM1,C2CD4B,ALS2,DPEP1,KPNA6,HMGB3,PRDM1,PRKCZ,IL4R,ACER3,IRAK3,CD209,TYRO3,EP300,COCH,ACP5,TFR2,TMEM33,UNC93B1,SLC15A3,CALCA,TRPV4,PTPN6,STXBP3,ARHGEF2,CR2,NMI,NR1D1,IRF3,BECN1,ADGRE2,ZFP36,VGF,EIF2AK4,THEMIS2,LGALS3,SFTPD,TSPAN2,IRF4,ITGAX,TNFRSF11A,IGFBP4,VAV1,SIGLEC10,IL22RA1,NFKBIZ,MFHAS1,ADRA2A,MCOLN2,KIT,ADAR,SLC15A2,ELF3,DTX3L,NPY5R,OTUD4,KLKB1,GRIK2,MAP4K2,MLKL,PTAFR,SOCS5,PIK3CD,CEBPB,C1QA,NRROS,NR1D2,PTPN2,NUPR1,GPR4,LACC1,ADGRB1,YTHDF3,PLA2G2A,IL1RAP,CD55,ILRUN,MAP3K5,PLCG2,CD177,LGR4,S1PR3,ORM1,CEBPA,MRC1,S100A14,SERPINE1,PVR,UBE2K,CEACAM1,SNAP23,AKAP1,SERPINB9,PNLIPRP2,ICOSLG,TREML1,NFAM1,LY75,IL17RB,MMP9,XIAP,CD48,GPR68,TEK,INHBA,RHBDF2,PLA2G7,F11R,FCMR,PTPN11,CLEC2A
	8.5E-03	92	596	1.51	GO:0034762 regulation of transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034762	CACNG7,HAMP,SCN1B,KCNS1,CRACR2A,DPP6,STAC2,CACNG8,KCNE4,AZIN1,SLMAP,CACNB2,KCNAB1,KCNE3,NPSR1,WWP2,SHISA8,AKAP5,GRIN2A,RYR2,VMP1,GNB5,TESC,MMP9,FGF21,TRPC6,ATP1B1,XCL1,BRAF,LRRC38,NETO1,CXCL11,CD19,PTPN11,ANO9,FLNA,ENPP1,CYBA,ATG5,SPHK2,TMEM38A,TREM2,KCNK6,ASIC2,SLC9A3R1,PTPN6,STXBP3,KCNC4,PKD2,HVCN1,EDN3,KCNK17,HSPA2,KCNC3,PTPN22,LHCGR,METTL21C,STOM,CACNA1B,HOMER1,CACNA2D1,JPH3,KCNMA1,CACNA2D3,PRKCI,KLF15,TERT,PTAFR,CLIC4,SLC30A1,KCNS3,KCNG3,TMEM37,YES1,KCND2,CATSPER4,PLCG2,CALCR,ACTB,CLTRN,CLTCL1,DIAPH1,COX17,IRS2,NOS1,CREBL2,MINK1,CRHBP,ADRA2A,NRXN1,CAPN1,JPH1
	8.5E-03	112	935	1.45	GO:0071345 cellular response to cytokine stimulus	http://amigo.geneontology.org/amigo/term/GO:0071345	IL20RA,IL4R,TRAF5,IRAK3,EBI3,IL12B,PRLR,LEPR,MPL,CXCL6,IL37,STAT5A,IL15RA,PARP9,NLRC5,TNFRSF11A,IFITM3,IL22RA1,XCL1,KIT,GBP4,IFI16,CXCL3,PF4,OTUD4,STAT6,CXCL11,IFNE,CSF2RA,TBK1,UPF1,TREM2,SIRT1,HIF1A,TCL1A,NFKBIA,XIAP,SFRP1,SH2B3,ZFP36,TLR4,CRHBP,TNFRSF21,ANKRD1,IL18,ZFP36L2,MAPK13,HIPK1,ZC3H12A,NLRP6,RUFY4,PTPRT,MME,CEBPA,GCLM,CD44,CYBA,IL17RB,PFKP,RORA,RIF1,ICAM1,RNF125,KLF5,ASAH1,HAMP,CALCA,KRT18,ADAM23,STXBP3,CTH,HELLS,LRAT,NMI,NR1D1,IRF3,AKAP12,GFPT2,PIAS3,OASL,PRDM5,ADAR,NUP35,PCOLCE2,TLR3,SYK,SOCS5,CEBPB,RARG,PTPN2,YTHDF3,SPRY4,IL1RAP,MAP3K5,MRC1,NKX3-1,MT1X,PPP2CB,UBE2K,ZFAND6,RFFL,CARD14,KRT8,HCLS1,CEACAM1,DPYSL3,ARHGEF2,CLCF1,HCK,CBL,PTPN6,PTPN11
	8.6E-03	42	284	1.89	GO:0002274 myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	TREM2,DYSF,SYK,FES,CD177,ZC3H12A,GRN,IFI35,CLU,NMI,CXCL6,ANXA3,PLA2G2A,SPHK2,RORA,IL4R,RELB,HAMP,CBL,PTPN6,NR1D1,DOCK2,TLR4,IRF4,IL18,TLR3,CLEC4D,RHOH,PTAFR,C1QA,PLCG2,CEBPA,STXBP2,DHRS2,STXBP3,SNAP23,ADGRE2,MFHAS1,KIT,FPR2,MT1G,PIK3CD
	8.6E-03	42	247	1.90	GO:0002573 myeloid leukocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0002573	TNFRSF11A,SIGLEC15,TESC,CALCA,IL23A,IL12B,BMP4,IFI16,PF4,CALCR,TREM2,SIRT1,SFRP1,RELB,GPR68,ZBTB46,PIAS3,TSPAN2,IRF4,CUL4A,PPARGC1B,CD109,KIT,CITED2,CEBPB,NRROS,PTPN2,HCLS1,TMEM64,MAFB,CEBPA,DHRS2,MYC,FES,LTF,CEACAM1,MT1G,TLR4,TLR3,MMP9,INHBA,PIK3CD
	8.6E-03	66	422	1.64	GO:0050878 regulation of body fluid levels	http://amigo.geneontology.org/amigo/term/GO:0050878	VCL,ACTB,MYL9,TLN1,FLNA,TYRO3,VWF,PLAU,PROZ,F12,TREML1,SYK,SERPINE1,F11,APOE,EMILIN2,F11R,PF4,KLKB1,SCNN1G,HPSE,TBXA2R,PIK3CB,CYBA,ENTPD2,ATG5,DGKA,HIF1A,PROCR,LSR,TRPV4,SH2B3,PTPN6,PRLR,MPL,SOCS2,STAT5A,TLR4,SERPING1,ADRA2A,IL18,ZBTB7B,SPINK1,PDSS2,CHRM1,NLRP6,SFN,NCOR2,TMPRSS11F,GJA5,ADRA2B,FA2H,MET,ADTRP,STXBP3,PRKG1,CLDN4,CEACAM1,SLC22A2,NFE2,ENTPD1,VAV1,FLI1,MYO5B,JMJD1C,PLCG2
	8.6E-03	76	670	1.58	GO:0050778 positive regulation of immune response	http://amigo.geneontology.org/amigo/term/GO:0050778	IL23A,CR2,THEMIS2,PTPN22,C5AR2,PARP9,SUSD4,ICOSLG,IFI16,SYK,BTNL9,KLK5,BTNL3,FPR2,CD19,FPR3,CD55,CR1L,CD177,NFAM1,C1QA,IFI35,PVR,CEACAM1,SIRT1,TLR8,GPLD1,IL12B,MAD2L2,ZP4,SLC15A4,NLRC5,KLK3,XCL1,SERPING1,IL18,FZD5,ZC3H12A,HEXIM1,PLCG2,SPHK2,PRKCZ,IL4R,RIF1,TREM2,COCH,FCER2,PTPN6,CLU,NMI,IRF3,TLR4,VAV1,NFKBIZ,TNFRSF21,ADAM8,BRAF,STAT6,PTAFR,SOCS5,PTPN2,CLCF1,PAWR,TBK1,CD38,PRKCH,UBE2K,RAB29,TGFB2,EIF2AK4,LGALS3,EP300,HCK,BANK1,PIK3CD,YES1
	8.6E-03	291	2582	1.24	GO:0050790 regulation of catalytic activity	http://amigo.geneontology.org/amigo/term/GO:0050790	DBNDD1,CASP10,GCLM,DCUN1D1,PPP1R12A,TBC1D22B,EPHA8,FGFR1,DOCK9,NOS1,IRAK3,TYRO3,RFFL,EPPIN,VAC14,MET,SERPINE1,PPP6R3,CBL,IL23A,SASH1,RAB3GAP2,TEK,CAAP1,TBC1D15,EDN3,ATG14,SPINK2,APOE,APOC1,OASL,PKIB,UACA,LHCGR,FGF2,PIK3R5,VAV1,CBLC,ARHGEF19,XCL1,SERPING1,TIMP4,KIT,FGFR4,TGFA,CCNYL1,LMTK2,ARHGAP12,SGSM1,SERPINB9,CYCS,AKAP5,ROR1,HEXIM1,SPRY4,SIPA1L1,ARHGEF15,RASGEF1A,LGR4,RGL3,SIPA1,DBNDD2,LGALS3,ALS2,LTF,DDX11,CAPN1,CD44,SPHK2,ARFGEF1,GNB5,TGFB2,TREM2,SIRT1,TCL1A,XIAP,FCER2,DVL1,CALCA,CYP27B1,PERP,IL12B,PRLR,RAD50,MAD2L2,CTSD,BMP4,GCH1,DSCC1,MYC,PARP9,PIF1,NLRC5,ADRA2A,IL18,HHEX,UCHL1,BUB3,PROM2,BUB1B,S100A1,ADAR,IFI16,DTX3L,TERT,WRN,ARHGAP42,A2ML1,NKX3-1,MAP4K2,COL4A3,SOCS5,SYNPO2,PDE3A,SFN,NRXN1,SOCS4,SOX2,PTPRT,MAP3K5,TOPORS,MBP,ADRA2B,TBXA2R,ARHGAP44,ANOS1,ARAP2,GUCA1A,PIK3CB,CYBA,TNK2,PRKCZ,ROCK1,PSME4,LLGL2,PPP2R2C,TESC,HIF1A,PPP4R3A,ANGPT4,PPP1R16B,RENBP,SFRP1,WASL,BMPR1A,RGS9,SLC9A3R1,SH2B3,PTPN6,CCNC,PHACTR2,ACVR2B,ARHGEF2,LEPR,RCAN3,SLC8A2,DENND10,SOCS2,CCZ1,RAP2C,ARHGAP40,SDC4,IQSEC2,SH2D3A,TNFSF14,MMP24,BECN1,RAB3IP,VIL1,ZFP36,GALR3,RHBDF2,ARHGEF6,EPS8L1,SWAP70,NGF,DOCK2,ABI1,TLR4,PI15,ANXA3,FGD4,BNIP2,IQGAP1,DNMT3L,IQGAP2,ARHGAP26,MTMR12,ADAM8,RANBP2,PPP2R5E,AZIN1,PPARGC1B,PPP2R2B,CD109,COX6A2,GHRL,UBE2Z,ATP13A2,DENND2D,FZD5,PCOLCE2,ADGRV1,SPINK1,INTS1,SYK,SPINT1,NDEL1,CLPX,ELFN2,DUS2,RAB3IL1,RHOH,RGS14,PTAFR,CALML6,USP50,CST1,PDZD3,RHOD,WFIKKN2,AGFG1,PCP2,NLRP6,CST6,PTPN2,NUPR1,BOK,EPS8L2,CD19,RABEP2,ALS2CL,FGD6,PDE6G,IRS2,CHM,ALKAL1,ANXA4,INKA2,STYX,ITSN2,CHML,AGAP6,SPDYC,PLIN5,FNIP1,TEN1,DPEP1,GRN,PNKP,PPP2R5A,FERMT2,CDC14B,MAPKAPK5,ITGA6,GSKIP,MMP9,PKD2,CLU,ACVR1C,PLAAT4,LARS1,PTPN22,COX17,TNFRSF11A,RSU1,F11R,CLDN3,PIP4K2C,FEM1B,PRKG1,CLDN4,ACTB,CEACAM1,CHRNA3,GPLD1,SLC22A2,TMBIM1,BICD1,FPR2,TNFRSF10A,CARD14,TLR3,GNA15,GLP1R,SGK1,PKMYT1,PLCB2,HERC5,GRIN2A,CEBPA
